SOPRANNOME;COGNOME;TASSONOMIA;ETIMOLOGIA;TRADUZIONE
Abbisongiu;Piras;;;bisogno
Aculliu;;;;
Adamu;Pitzanti;;;Adamo
Aguanta famini;;;;
Alliconedda;;;;
Anguidda;Manunza;;;
Anneu;Melis;;;
Arengu;Porcu;;;
Aritzu;Meloni;;;
Arradò;Taccori;;;
Arraighedda;Marras;;;
Arralinchi(n)u ;Matta;;;
Arrana (s’);Loi;;;
Arrana scosciada;Loi;;;
Arravonellu;Mattana;;;
Arretixeddu;Melis;;;
Arrichesa (s’);;;;
Arridolli(n)u;Angioni;;;
Arritzo(n)i;Piga;;;
Arrubiastu;Orrù;;;
Arruntziu;Ferru/Loi;;;
Ascuta fragu ;;;;
Atzitzo(n)i;Pitzanti;;;
Badolliu;Spiga;;;
Bagigia;Atzeni;;;
Balloi;;;;
Banfu ;;;;
Baresu (su);;;;
Barragallu;Cau;;;
Barranculu;;;;
Barriloca;Farris;;;
Barriolu;Cannas/Ferru;;;
Barroi;Taccori;;;
Basa peis;Peis;;;
Basciu;Marras;;;
Batiroti;Loi;;;
Ben’ a mammai;Manca;;;
Bestia (sa);Bullita;;;
Beta (sa);Pili;;;
Biancu;Cara;;;
Bibitzu;Nioi/Spiga;;;
Biddigaddi;Angioni;;;
Billari;Farris;;;
Billincu;Arba;;;
Billolli;Lai;;;
Bintunu pilu;Serrau;;;
Bioi;Ferru;;;
Birriollu;Uras;;;
Biundu;Foddis;;;
Biutzu;Cau;;;
Boboi;Pinna;;;
Boci bois;Ferru;;;
Bocia (sa);Melis;;;
Bollinu;Piga;;;
Bomba (sa);Cau;;;
Bovali;Piga;;;
Boveri;Pinna;;;
Boveta;Zanda;;;
Boxi grussa;Puddu;;;
Brabaleto(n)i ;;;;
Brabeta;Tidu;;;
Bragheta;Marcis;;;
Bratzollu;;;;
Brechi;Pitzanti;;;
Brennali;Marrocu;;;
Brenti;Piga;;;
Brent’e anadi;Angioni;;;
Brent’ e cuarra;Nonnis;;;
Bresca;Nioi;;;
Bribillitzu;Spiga;;;
Broca (sa);Bullita;;;
Brociu;Mereu/Piras;;;
Brodu;Marcis;;;
Brucinella;Mereu;;;
Brunchitu;;;;
Buco(n)i;Cabras/Cau;;;
Buddeddu;Marras;;;
Buddoni;Spiga;;;
Bulleta;;;;
Busciuca;Melis;;;
Buticalli;Cabras;;;
Cabaddu;Argiolas;;;
Cabo(n)i;;;;
Caddo(n)i;Loi;;;
Cadenatzu;Ferru;;;
Caffo(n)i;Lai;;;
Caga bombas;Melis;;;
Caga dinai;;;;
Caga gana;;;;
Caga reis;;;;
Caga tzirrichia;Serra;;;
Caga uficius;Angioni;;;
Cagaiolu;;;;
Cagallo(n)i;Saba;;;
Cagareddu;Marras;;;
Cago(n)i;;;;
Calabreu;Zucca;;;
Calvariu;Ledda;;;
Camba;;;;
Caga;Cabiddu;;;
Cambedda;Cannas/Loi;;;
Campagnolu;Spano;;;
Cancarredda;Cau;;;
Canciofa;Marcis;;;
Cangiolu;Vacca;;;
Ca(n)i (su);Tinti;;;
Capello;Pau;;;
Capitanu;Mereu;;;
Carcaxu;Cogoni;;;
Cardanca;Massa;;;
Carro(n)i;Lai;;;
Carronisca;Atzeri;;;
Carzita;Spiga;;;
Cascioni;Cau;;;
